Game Number,Button Hand 1,Button Hand 2,Small Blind Hand 1,Small Blind Hand 2,Big Blind Hand 1,Big Blind Hand 2,UTG Hand 1,UTG Hand 2,UTG+1 Hand 1,UTG+1 Hand 2,Community Card 1,Community Card 2,Community Card 3,Community Card 4,Community Card 5
878,6 of Spades,A of Clubs,3 of Clubs,K of Clubs,5 of Clubs,2 of Clubs,K of Hearts,10 of Spades,J of Diamonds,3 of Spades,7 of Hearts,7 of Clubs,9 of Clubs,9 of Diamonds,3 of Diamonds
879,3 of Diamonds,J of Clubs,2 of Hearts,K of Hearts,3 of Hearts,9 of Diamonds,K of Diamonds,Q of Clubs,8 of Clubs,8 of Hearts,3 of Spades,8 of Spades,4 of Hearts,7 of Spades,2 of Clubs
880,10 of Spades,5 of Hearts,6 of Spades,J of Spades,8 of Clubs,K of Clubs,6 of Clubs,3 of Spades,4 of Diamonds,2 of Clubs,7 of Diamonds,2 of Hearts,10 of Clubs,7 of Hearts,9 of Diamonds
881,A of Diamonds,7 of Clubs,K of Diamonds,J of Clubs,9 of Clubs,5 of Hearts,7 of Diamonds,4 of Hearts,6 of Clubs,6 of Diamonds,8 of Hearts,6 of Spades,8 of Clubs,10 of Clubs,Q of Diamonds
882,6 of Diamonds,J of Clubs,K of Hearts,3 of Spades,K of Clubs,J of Diamonds,8 of Diamonds,Q of Spades,8 of Clubs,3 of Hearts,7 of Spades,A of Diamonds,2 of Hearts,Q of Clubs,2 of Clubs
883,5 of Spades,2 of Spades,10 of Diamonds,10 of Clubs,6 of Diamonds,8 of Spades,3 of Clubs,3 of Hearts,6 of Clubs,6 of Hearts,2 of Diamonds,K of Spades,7 of Clubs,Q of Hearts,J of Clubs
884,A of Hearts,7 of Hearts,4 of Diamonds,9 of Diamonds,9 of Clubs,K of Hearts,6 of Diamonds,5 of Hearts,5 of Clubs,4 of Clubs,4 of Spades,2 of Diamonds,3 of Spades,3 of Diamonds,Q of Diamonds
885,10 of Hearts,8 of Spades,5 of Spades,J of Spades,2 of Spades,6 of Hearts,J of Hearts,7 of Clubs,3 of Diamonds,6 of Spades,9 of Hearts,8 of Hearts,J of Diamonds,Q of Hearts,J of Clubs
886,9 of Hearts,5 of Hearts,Q of Diamonds,Q of Hearts,7 of Spades,2 of Diamonds,K of Hearts,6 of Spades,4 of Hearts,10 of Diamonds,4 of Spades,8 of Clubs,A of Hearts,10 of Clubs,6 of Hearts
887,5 of Clubs,A of Diamonds,2 of Spades,A of Spades,8 of Spades,9 of Clubs,3 of Hearts,6 of Hearts,4 of Spades,5 of Hearts,9 of Hearts,4 of Hearts,6 of Diamonds,Q of Diamonds,J of Hearts
888,10 of Hearts,2 of Hearts,5 of Spades,K of Hearts,Q of Diamonds,6 of Diamonds,4 of Diamonds,4 of Spades,3 of Clubs,7 of Spades,8 of Clubs,A of Clubs,10 of Clubs,J of Clubs,3 of Diamonds
889,5 of Spades,10 of Clubs,7 of Diamonds,2 of Spades,3 of Clubs,K of Diamonds,9 of Spades,2 of Diamonds,8 of Diamonds,Q of Clubs,J of Spades,4 of Diamonds,2 of Hearts,3 of Diamonds,A of Clubs
890,A of Clubs,2 of Spades,5 of Clubs,5 of Hearts,3 of Clubs,9 of Clubs,A of Hearts,8 of Hearts,6 of Hearts,K of Spades,7 of Clubs,2 of Hearts,6 of Diamonds,9 of Diamonds,2 of Diamonds
891,4 of Clubs,2 of Diamonds,A of Clubs,7 of Diamonds,K of Clubs,8 of Diamonds,7 of Clubs,J of Spades,2 of Hearts,5 of Diamonds,8 of Spades,8 of Clubs,3 of Diamonds,5 of Spades,7 of Spades
892,J of Clubs,2 of Diamonds,3 of Diamonds,Q of Clubs,9 of Clubs,9 of Diamonds,6 of Spades,10 of Diamonds,J of Diamonds,9 of Hearts,4 of Spades,A of Clubs,A of Diamonds,A of Spades,8 of Diamonds
893,5 of Clubs,7 of Hearts,2 of Clubs,2 of Diamonds,9 of Clubs,A of Hearts,A of Spades,2 of Hearts,6 of Diamonds,K of Spades,3 of Spades,9 of Spades,3 of Clubs,7 of Diamonds,K of Diamonds
894,10 of Clubs,5 of Hearts,K of Spades,Q of Clubs,10 of Spades,8 of Diamonds,2 of Hearts,5 of Diamonds,5 of Spades,Q of Spades,3 of Diamonds,7 of Hearts,9 of Hearts,2 of Spades,8 of Hearts
895,K of Diamonds,9 of Diamonds,10 of Spades,10 of Diamonds,5 of Hearts,Q of Clubs,9 of Spades,5 of Clubs,8 of Clubs,4 of Spades,4 of Diamonds,J of Clubs,K of Hearts,K of Clubs,8 of Hearts
896,A of Clubs,6 of Clubs,7 of Diamonds,Q of Spades,A of Diamonds,7 of Hearts,9 of Spades,Q of Hearts,2 of Clubs,J of Hearts,8 of Hearts,5 of Spades,J of Diamonds,4 of Spades,5 of Hearts
897,J of Spades,3 of Hearts,6 of Hearts,2 of Spades,4 of Clubs,5 of Diamonds,9 of Diamonds,Q of Clubs,5 of Spades,5 of Clubs,8 of Hearts,K of Clubs,10 of Diamonds,2 of Diamonds,5 of Hearts
898,3 of Hearts,7 of Spades,10 of Hearts,J of Clubs,A of Spades,9 of Spades,7 of Clubs,5 of Clubs,5 of Hearts,7 of Diamonds,3 of Diamonds,10 of Diamonds,6 of Spades,4 of Diamonds,8 of Hearts
899,9 of Hearts,10 of Spades,K of Hearts,9 of Spades,8 of Hearts,8 of Diamonds,Q of Hearts,A of Hearts,4 of Diamonds,6 of Clubs,10 of Diamonds,2 of Spades,J of Spades,K of Clubs,5 of Clubs
900,K of Clubs,2 of Clubs,8 of Spades,J of Clubs,2 of Hearts,4 of Diamonds,A of Clubs,5 of Spades,6 of Diamonds,2 of Spades,8 of Diamonds,7 of Hearts,8 of Hearts,9 of Hearts,3 of Diamonds
901,2 of Diamonds,8 of Diamonds,2 of Hearts,9 of Clubs,9 of Spades,A of Spades,7 of Spades,A of Diamonds,4 of Clubs,5 of Clubs,Q of Diamonds,10 of Diamonds,8 of Spades,7 of Hearts,Q of Hearts
902,10 of Clubs,9 of Hearts,9 of Diamonds,J of Spades,5 of Clubs,8 of Hearts,2 of Hearts,4 of Spades,7 of Spades,Q of Clubs,Q of Diamonds,8 of Diamonds,A of Hearts,2 of Spades,10 of Spades
903,4 of Clubs,Q of Spades,Q of Diamonds,9 of Hearts,3 of Diamonds,10 of Clubs,K of Diamonds,Q of Hearts,3 of Clubs,J of Hearts,A of Spades,2 of Clubs,5 of Hearts,9 of Diamonds,Q of Clubs
904,A of Clubs,Q of Clubs,2 of Spades,Q of Hearts,8 of Hearts,K of Diamonds,6 of Clubs,2 of Diamonds,J of Hearts,8 of Diamonds,Q of Diamonds,7 of Clubs,3 of Spades,5 of Clubs,9 of Hearts
905,3 of Diamonds,7 of Hearts,5 of Spades,9 of Spades,7 of Clubs,7 of Spades,J of Hearts,K of Clubs,Q of Clubs,K of Spades,J of Clubs,3 of Spades,Q of Hearts,2 of Hearts,5 of Diamonds
906,4 of Clubs,A of Diamonds,A of Clubs,J of Clubs,Q of Diamonds,K of Spades,10 of Spades,7 of Hearts,K of Diamonds,Q of Hearts,9 of Clubs,7 of Diamonds,8 of Diamonds,J of Hearts,2 of Hearts
907,J of Diamonds,Q of Spades,J of Hearts,A of Spades,10 of Diamonds,6 of Diamonds,Q of Hearts,7 of Hearts,3 of Clubs,J of Spades,5 of Diamonds,3 of Hearts,9 of Spades,10 of Clubs,A of Hearts
908,2 of Hearts,Q of Diamonds,9 of Clubs,K of Clubs,K of Hearts,5 of Clubs,2 of Clubs,6 of Clubs,5 of Diamonds,7 of Spades,J of Spades,3 of Diamonds,8 of Spades,8 of Diamonds,Q of Spades
909,5 of Clubs,7 of Diamonds,9 of Diamonds,8 of Hearts,4 of Clubs,4 of Hearts,K of Diamonds,6 of Hearts,3 of Spades,10 of Hearts,9 of Hearts,2 of Spades,8 of Diamonds,10 of Diamonds,6 of Clubs
910,2 of Spades,J of Spades,4 of Spades,7 of Diamonds,8 of Spades,10 of Spades,8 of Hearts,7 of Clubs,3 of Spades,J of Diamonds,Q of Clubs,4 of Clubs,10 of Clubs,6 of Hearts,K of Diamonds
911,8 of Spades,2 of Spades,J of Spades,9 of Spades,3 of Clubs,9 of Diamonds,2 of Diamonds,2 of Hearts,9 of Hearts,6 of Spades,8 of Hearts,J of Clubs,4 of Hearts,3 of Diamonds,10 of Hearts
912,4 of Spades,5 of Diamonds,Q of Spades,5 of Hearts,7 of Diamonds,4 of Diamonds,J of Spades,2 of Hearts,A of Spades,3 of Clubs,4 of Hearts,5 of Spades,10 of Diamonds,6 of Diamonds,Q of Clubs
913,4 of Clubs,7 of Clubs,9 of Hearts,8 of Diamonds,A of Clubs,A of Spades,8 of Hearts,Q of Spades,9 of Spades,K of Clubs,6 of Hearts,8 of Spades,6 of Clubs,2 of Hearts,4 of Diamonds
914,K of Hearts,6 of Diamonds,7 of Clubs,8 of Hearts,5 of Clubs,9 of Hearts,9 of Spades,A of Hearts,4 of Spades,10 of Spades,2 of Spades,8 of Diamonds,Q of Clubs,A of Clubs,6 of Hearts
915,3 of Hearts,6 of Spades,K of Diamonds,3 of Spades,9 of Hearts,10 of Hearts,4 of Diamonds,8 of Spades,Q of Clubs,3 of Diamonds,7 of Clubs,4 of Clubs,A of Clubs,4 of Hearts,2 of Clubs
916,4 of Clubs,6 of Hearts,8 of Clubs,10 of Clubs,4 of Hearts,8 of Spades,J of Clubs,9 of Spades,A of Diamonds,2 of Hearts,J of Spades,6 of Clubs,Q of Spades,2 of Spades,K of Diamonds
917,4 of Diamonds,6 of Clubs,9 of Hearts,9 of Clubs,Q of Clubs,A of Diamonds,10 of Hearts,J of Spades,8 of Clubs,8 of Hearts,10 of Spades,3 of Spades,2 of Clubs,8 of Diamonds,4 of Spades
918,7 of Hearts,8 of Clubs,2 of Spades,7 of Clubs,J of Spades,9 of Hearts,10 of Diamonds,Q of Hearts,8 of Diamonds,9 of Diamonds,6 of Diamonds,5 of Diamonds,A of Hearts,K of Clubs,4 of Spades
919,2 of Diamonds,3 of Hearts,3 of Clubs,7 of Spades,K of Clubs,3 of Diamonds,J of Diamonds,Q of Diamonds,7 of Hearts,4 of Clubs,6 of Diamonds,2 of Hearts,7 of Clubs,A of Diamonds,J of Clubs
920,Q of Clubs,4 of Spades,5 of Spades,K of Clubs,J of Diamonds,7 of Clubs,7 of Diamonds,K of Diamonds,9 of Spades,K of Spades,9 of Hearts,3 of Clubs,K of Hearts,10 of Clubs,7 of Hearts
921,8 of Diamonds,K of Spades,J of Diamonds,3 of Clubs,9 of Hearts,K of Hearts,8 of Hearts,6 of Hearts,7 of Hearts,10 of Diamonds,A of Hearts,9 of Spades,7 of Diamonds,8 of Clubs,J of Hearts
922,4 of Spades,A of Clubs,9 of Hearts,J of Spades,8 of Spades,10 of Clubs,J of Clubs,6 of Diamonds,5 of Hearts,3 of Hearts,K of Clubs,4 of Diamonds,10 of Hearts,2 of Hearts,A of Hearts
923,2 of Hearts,K of Hearts,3 of Hearts,J of Spades,J of Hearts,Q of Hearts,A of Diamonds,8 of Spades,4 of Hearts,7 of Hearts,8 of Hearts,K of Spades,6 of Diamonds,7 of Diamonds,9 of Diamonds
924,4 of Diamonds,Q of Hearts,9 of Spades,6 of Diamonds,K of Clubs,2 of Hearts,2 of Clubs,J of Spades,6 of Clubs,10 of Clubs,6 of Hearts,3 of Diamonds,3 of Clubs,2 of Spades,K of Diamonds
925,8 of Diamonds,4 of Clubs,5 of Hearts,3 of Spades,K of Diamonds,6 of Hearts,4 of Spades,Q of Spades,5 of Clubs,3 of Clubs,4 of Hearts,Q of Clubs,J of Hearts,8 of Spades,Q of Hearts
926,2 of Clubs,5 of Hearts,10 of Diamonds,7 of Clubs,K of Hearts,8 of Diamonds,10 of Hearts,3 of Spades,A of Diamonds,A of Spades,4 of Spades,5 of Spades,6 of Hearts,9 of Hearts,7 of Hearts
927,3 of Hearts,K of Diamonds,10 of Clubs,4 of Clubs,K of Hearts,5 of Diamonds,A of Hearts,5 of Hearts,5 of Clubs,J of Clubs,A of Clubs,5 of Spades,7 of Hearts,2 of Hearts,7 of Spades
928,4 of Spades,Q of Hearts,6 of Diamonds,8 of Diamonds,3 of Diamonds,9 of Clubs,10 of Hearts,10 of Diamonds,A of Clubs,A of Diamonds,6 of Hearts,Q of Diamonds,3 of Clubs,9 of Spades,Q of Spades
929,4 of Spades,3 of Spades,10 of Spades,5 of Spades,J of Diamonds,8 of Spades,4 of Diamonds,4 of Hearts,7 of Clubs,9 of Clubs,7 of Hearts,K of Clubs,4 of Clubs,J of Hearts,K of Hearts
930,9 of Clubs,K of Spades,2 of Hearts,Q of Spades,K of Hearts,5 of Hearts,J of Clubs,4 of Diamonds,A of Hearts,6 of Clubs,9 of Hearts,A of Clubs,Q of Diamonds,2 of Diamonds,3 of Spades
931,6 of Hearts,A of Diamonds,3 of Spades,10 of Hearts,2 of Clubs,9 of Hearts,10 of Clubs,8 of Clubs,8 of Diamonds,4 of Spades,J of Spades,K of Spades,10 of Spades,9 of Clubs,7 of Spades
932,J of Clubs,7 of Diamonds,K of Diamonds,A of Clubs,10 of Diamonds,A of Hearts,A of Spades,K of Hearts,4 of Spades,9 of Clubs,10 of Clubs,J of Hearts,Q of Hearts,2 of Diamonds,Q of Clubs
933,9 of Clubs,7 of Diamonds,K of Hearts,A of Hearts,J of Clubs,9 of Diamonds,8 of Spades,8 of Hearts,6 of Spades,Q of Diamonds,10 of Diamonds,2 of Clubs,3 of Diamonds,9 of Hearts,A of Diamonds
934,K of Diamonds,10 of Hearts,6 of Spades,3 of Spades,3 of Hearts,7 of Hearts,J of Hearts,2 of Diamonds,10 of Spades,8 of Hearts,2 of Clubs,4 of Diamonds,2 of Spades,9 of Hearts,3 of Clubs
935,Q of Diamonds,J of Clubs,2 of Hearts,3 of Spades,A of Clubs,J of Hearts,10 of Diamonds,9 of Hearts,6 of Spades,8 of Spades,9 of Clubs,3 of Clubs,7 of Clubs,K of Diamonds,A of Diamonds
936,Q of Diamonds,5 of Diamonds,8 of Diamonds,6 of Hearts,5 of Hearts,6 of Clubs,3 of Spades,9 of Hearts,K of Spades,A of Hearts,A of Diamonds,J of Diamonds,10 of Diamonds,Q of Clubs,J of Hearts
937,4 of Spades,8 of Diamonds,K of Hearts,7 of Diamonds,9 of Clubs,3 of Clubs,2 of Clubs,Q of Spades,7 of Clubs,10 of Diamonds,7 of Spades,Q of Diamonds,8 of Spades,9 of Diamonds,9 of Spades
938,2 of Diamonds,3 of Hearts,9 of Diamonds,Q of Hearts,6 of Clubs,4 of Hearts,2 of Spades,Q of Clubs,8 of Spades,5 of Clubs,7 of Hearts,Q of Spades,5 of Hearts,Q of Diamonds,6 of Spades
939,5 of Clubs,3 of Diamonds,5 of Spades,8 of Clubs,7 of Hearts,8 of Spades,K of Diamonds,4 of Clubs,3 of Hearts,2 of Diamonds,6 of Hearts,7 of Spades,J of Spades,A of Spades,10 of Clubs
940,8 of Diamonds,A of Spades,6 of Clubs,6 of Diamonds,2 of Hearts,5 of Diamonds,5 of Spades,J of Spades,4 of Spades,3 of Diamonds,Q of Spades,K of Diamonds,3 of Spades,3 of Clubs,K of Spades
941,4 of Spades,2 of Clubs,J of Spades,K of Clubs,8 of Clubs,7 of Diamonds,A of Spades,4 of Clubs,10 of Clubs,8 of Spades,9 of Spades,Q of Spades,10 of Hearts,J of Clubs,2 of Hearts
942,K of Diamonds,10 of Clubs,7 of Spades,A of Diamonds,8 of Diamonds,9 of Diamonds,J of Diamonds,K of Clubs,7 of Hearts,10 of Hearts,9 of Hearts,7 of Diamonds,6 of Diamonds,8 of Hearts,Q of Clubs
943,A of Hearts,9 of Spades,K of Spades,5 of Hearts,7 of Spades,5 of Clubs,9 of Hearts,K of Hearts,10 of Hearts,K of Clubs,J of Hearts,Q of Hearts,4 of Diamonds,2 of Spades,J of Clubs
944,A of Hearts,8 of Clubs,Q of Hearts,8 of Hearts,9 of Clubs,5 of Hearts,2 of Hearts,9 of Spades,7 of Spades,2 of Clubs,5 of Clubs,K of Diamonds,3 of Spades,J of Hearts,Q of Clubs
945,5 of Clubs,4 of Diamonds,J of Spades,Q of Hearts,K of Diamonds,10 of Clubs,9 of Clubs,7 of Spades,5 of Diamonds,K of Spades,K of Hearts,9 of Spades,5 of Hearts,J of Hearts,4 of Hearts
946,10 of Diamonds,5 of Diamonds,4 of Clubs,5 of Hearts,K of Diamonds,2 of Diamonds,2 of Clubs,3 of Spades,J of Hearts,3 of Diamonds,Q of Spades,J of Diamonds,10 of Clubs,Q of Diamonds,7 of Clubs
947,7 of Spades,K of Clubs,2 of Spades,6 of Spades,4 of Diamonds,10 of Spades,6 of Hearts,3 of Diamonds,6 of Clubs,6 of Diamonds,8 of Spades,8 of Clubs,J of Diamonds,9 of Hearts,2 of Hearts
948,8 of Spades,3 of Diamonds,4 of Spades,3 of Clubs,10 of Diamonds,7 of Clubs,9 of Hearts,10 of Hearts,7 of Hearts,3 of Spades,K of Spades,5 of Diamonds,8 of Hearts,6 of Hearts,6 of Spades
949,4 of Diamonds,Q of Diamonds,9 of Hearts,9 of Clubs,10 of Clubs,3 of Clubs,7 of Spades,3 of Spades,6 of Diamonds,Q of Hearts,10 of Spades,J of Spades,J of Clubs,Q of Clubs,8 of Clubs
950,7 of Clubs,6 of Hearts,A of Hearts,10 of Hearts,6 of Spades,9 of Spades,5 of Diamonds,10 of Spades,10 of Clubs,J of Spades,A of Diamonds,2 of Diamonds,K of Hearts,4 of Diamonds,5 of Spades
951,8 of Clubs,Q of Clubs,8 of Diamonds,J of Spades,K of Diamonds,J of Hearts,10 of Hearts,10 of Diamonds,3 of Hearts,3 of Spades,K of Spades,3 of Diamonds,2 of Spades,9 of Spades,9 of Clubs
952,7 of Hearts,6 of Hearts,8 of Hearts,7 of Clubs,K of Spades,3 of Spades,8 of Diamonds,5 of Diamonds,Q of Hearts,J of Spades,Q of Diamonds,8 of Clubs,8 of Spades,K of Hearts,K of Clubs
953,K of Hearts,2 of Hearts,7 of Spades,J of Hearts,A of Clubs,5 of Spades,10 of Clubs,K of Diamonds,2 of Diamonds,Q of Hearts,8 of Spades,3 of Diamonds,Q of Spades,7 of Clubs,K of Clubs
954,10 of Clubs,J of Hearts,9 of Spades,8 of Clubs,K of Hearts,2 of Spades,Q of Hearts,8 of Spades,10 of Spades,A of Clubs,6 of Clubs,2 of Hearts,3 of Hearts,Q of Diamonds,3 of Clubs
955,3 of Clubs,J of Hearts,5 of Hearts,4 of Diamonds,7 of Hearts,6 of Hearts,7 of Clubs,Q of Spades,9 of Diamonds,9 of Clubs,8 of Clubs,10 of Spades,K of Diamonds,7 of Diamonds,3 of Hearts
956,6 of Clubs,8 of Clubs,4 of Spades,2 of Diamonds,J of Clubs,10 of Diamonds,5 of Hearts,Q of Clubs,2 of Clubs,J of Spades,8 of Hearts,9 of Diamonds,3 of Hearts,4 of Hearts,3 of Spades
957,K of Hearts,7 of Hearts,3 of Hearts,A of Hearts,J of Hearts,8 of Hearts,8 of Clubs,8 of Spades,5 of Diamonds,3 of Clubs,9 of Spades,2 of Diamonds,5 of Hearts,4 of Clubs,9 of Diamonds
958,K of Diamonds,3 of Clubs,K of Clubs,10 of Diamonds,2 of Spades,4 of Diamonds,Q of Diamonds,5 of Hearts,J of Diamonds,9 of Hearts,8 of Diamonds,Q of Spades,7 of Clubs,4 of Clubs,A of Diamonds
959,6 of Clubs,2 of Hearts,J of Spades,10 of Spades,3 of Spades,5 of Clubs,10 of Diamonds,8 of Hearts,3 of Clubs,2 of Clubs,K of Diamonds,8 of Spades,7 of Diamonds,A of Hearts,9 of Clubs
960,2 of Hearts,A of Diamonds,9 of Clubs,Q of Diamonds,7 of Spades,4 of Hearts,7 of Clubs,4 of Spades,10 of Clubs,K of Clubs,K of Hearts,3 of Diamonds,10 of Hearts,3 of Spades,2 of Spades
961,4 of Spades,8 of Diamonds,6 of Clubs,2 of Clubs,5 of Diamonds,A of Diamonds,9 of Spades,6 of Spades,K of Spades,4 of Hearts,3 of Clubs,8 of Clubs,7 of Clubs,K of Clubs,5 of Hearts
962,4 of Diamonds,4 of Clubs,10 of Diamonds,2 of Spades,5 of Clubs,J of Diamonds,Q of Clubs,J of Hearts,J of Spades,6 of Diamonds,3 of Clubs,8 of Spades,2 of Diamonds,9 of Clubs,K of Hearts
963,J of Diamonds,7 of Diamonds,2 of Diamonds,8 of Hearts,5 of Spades,K of Clubs,K of Spades,4 of Spades,3 of Spades,6 of Diamonds,A of Spades,Q of Clubs,A of Hearts,3 of Diamonds,2 of Hearts
964,2 of Spades,5 of Spades,6 of Hearts,J of Diamonds,3 of Clubs,A of Hearts,2 of Clubs,5 of Diamonds,8 of Hearts,2 of Hearts,6 of Clubs,9 of Hearts,Q of Clubs,7 of Diamonds,3 of Hearts
965,J of Clubs,7 of Spades,10 of Clubs,10 of Hearts,6 of Diamonds,5 of Spades,Q of Diamonds,8 of Hearts,7 of Diamonds,6 of Hearts,10 of Spades,A of Diamonds,J of Diamonds,5 of Clubs,A of Clubs
966,2 of Hearts,7 of Diamonds,10 of Clubs,8 of Diamonds,10 of Spades,4 of Clubs,A of Clubs,Q of Clubs,3 of Diamonds,Q of Hearts,3 of Hearts,K of Diamonds,K of Spades,5 of Spades,J of Hearts
967,A of Spades,7 of Spades,9 of Diamonds,2 of Diamonds,K of Hearts,K of Diamonds,5 of Clubs,9 of Spades,6 of Hearts,3 of Spades,J of Hearts,10 of Diamonds,10 of Hearts,2 of Hearts,K of Clubs
968,J of Diamonds,7 of Clubs,3 of Spades,A of Spades,K of Hearts,J of Hearts,A of Diamonds,10 of Clubs,3 of Clubs,5 of Spades,K of Clubs,8 of Diamonds,5 of Diamonds,7 of Diamonds,6 of Clubs
969,2 of Clubs,8 of Clubs,A of Clubs,Q of Diamonds,7 of Hearts,2 of Hearts,6 of Diamonds,8 of Hearts,9 of Spades,J of Diamonds,10 of Diamonds,J of Clubs,4 of Spades,A of Spades,8 of Diamonds
970,5 of Spades,9 of Hearts,7 of Hearts,K of Diamonds,4 of Hearts,5 of Clubs,K of Hearts,K of Clubs,10 of Hearts,6 of Clubs,10 of Clubs,7 of Clubs,A of Clubs,9 of Clubs,4 of Clubs
971,5 of Spades,6 of Hearts,10 of Diamonds,7 of Clubs,8 of Clubs,J of Diamonds,4 of Diamonds,3 of Diamonds,6 of Spades,9 of Spades,K of Diamonds,2 of Diamonds,6 of Clubs,A of Spades,5 of Diamonds
972,Q of Clubs,10 of Hearts,9 of Spades,10 of Clubs,2 of Clubs,3 of Clubs,7 of Hearts,7 of Diamonds,3 of Diamonds,A of Spades,K of Hearts,K of Clubs,8 of Diamonds,4 of Clubs,8 of Clubs
973,4 of Hearts,K of Diamonds,A of Diamonds,4 of Clubs,9 of Spades,7 of Clubs,4 of Diamonds,3 of Clubs,A of Clubs,10 of Spades,A of Hearts,6 of Spades,J of Clubs,3 of Spades,3 of Diamonds
974,10 of Clubs,5 of Spades,J of Clubs,7 of Diamonds,2 of Spades,6 of Spades,4 of Spades,3 of Diamonds,10 of Spades,Q of Clubs,9 of Hearts,9 of Diamonds,6 of Clubs,10 of Diamonds,K of Clubs
975,2 of Hearts,K of Diamonds,A of Hearts,7 of Hearts,K of Hearts,2 of Diamonds,2 of Clubs,8 of Spades,7 of Clubs,8 of Diamonds,6 of Spades,7 of Diamonds,K of Clubs,4 of Spades,5 of Diamonds
976,J of Diamonds,2 of Spades,A of Hearts,10 of Diamonds,10 of Clubs,4 of Clubs,2 of Clubs,9 of Diamonds,J of Clubs,Q of Clubs,J of Spades,A of Clubs,7 of Clubs,10 of Hearts,4 of Diamonds
977,9 of Diamonds,7 of Clubs,2 of Hearts,5 of Hearts,8 of Hearts,7 of Hearts,6 of Clubs,A of Clubs,6 of Diamonds,8 of Diamonds,K of Diamonds,3 of Hearts,4 of Clubs,4 of Spades,J of Hearts
978,2 of Clubs,10 of Hearts,A of Hearts,9 of Diamonds,K of Hearts,5 of Spades,6 of Clubs,A of Clubs,Q of Hearts,6 of Spades,A of Diamonds,10 of Spades,K of Spades,3 of Clubs,7 of Diamonds
979,8 of Diamonds,2 of Clubs,8 of Spades,3 of Spades,4 of Hearts,3 of Clubs,6 of Clubs,9 of Diamonds,9 of Hearts,K of Clubs,2 of Spades,K of Diamonds,10 of Spades,6 of Spades,A of Diamonds
980,J of Hearts,K of Diamonds,5 of Diamonds,5 of Hearts,9 of Diamonds,7 of Diamonds,2 of Diamonds,8 of Spades,7 of Clubs,Q of Hearts,10 of Clubs,7 of Hearts,10 of Diamonds,Q of Spades,A of Clubs
981,A of Clubs,10 of Spades,Q of Hearts,10 of Hearts,K of Diamonds,J of Spades,K of Spades,J of Hearts,8 of Spades,8 of Diamonds,9 of Diamonds,7 of Spades,2 of Spades,Q of Spades,6 of Hearts
982,Q of Diamonds,A of Spades,Q of Clubs,9 of Diamonds,10 of Diamonds,A of Diamonds,6 of Diamonds,Q of Spades,A of Clubs,K of Spades,8 of Diamonds,8 of Hearts,4 of Diamonds,9 of Spades,4 of Spades
983,4 of Diamonds,9 of Spades,Q of Hearts,9 of Diamonds,J of Clubs,J of Hearts,4 of Spades,A of Clubs,Q of Spades,8 of Spades,2 of Hearts,7 of Diamonds,6 of Clubs,Q of Diamonds,10 of Spades
984,K of Hearts,Q of Clubs,7 of Diamonds,5 of Clubs,6 of Diamonds,A of Clubs,8 of Spades,10 of Diamonds,A of Hearts,J of Spades,J of Diamonds,A of Spades,K of Diamonds,K of Spades,6 of Spades
985,3 of Diamonds,7 of Spades,5 of Clubs,A of Diamonds,4 of Spades,7 of Hearts,K of Hearts,Q of Diamonds,9 of Hearts,Q of Clubs,4 of Diamonds,8 of Spades,Q of Spades,2 of Hearts,5 of Diamonds
986,7 of Spades,3 of Hearts,5 of Spades,A of Spades,Q of Spades,9 of Clubs,A of Diamonds,3 of Spades,4 of Hearts,4 of Spades,10 of Hearts,4 of Diamonds,Q of Clubs,3 of Clubs,9 of Hearts
987,Q of Diamonds,4 of Diamonds,K of Clubs,2 of Hearts,J of Hearts,8 of Diamonds,4 of Spades,7 of Clubs,J of Clubs,8 of Clubs,J of Spades,5 of Clubs,A of Clubs,4 of Hearts,5 of Hearts
988,9 of Clubs,3 of Diamonds,J of Diamonds,J of Hearts,10 of Clubs,8 of Clubs,4 of Hearts,10 of Spades,4 of Diamonds,8 of Hearts,A of Hearts,3 of Hearts,10 of Diamonds,A of Spades,5 of Spades
989,J of Clubs,8 of Diamonds,4 of Diamonds,6 of Diamonds,7 of Clubs,Q of Hearts,2 of Spades,5 of Spades,7 of Spades,4 of Hearts,A of Hearts,5 of Diamonds,3 of Clubs,6 of Spades,K of Hearts
990,Q of Diamonds,A of Diamonds,2 of Diamonds,9 of Diamonds,2 of Clubs,J of Clubs,9 of Clubs,8 of Hearts,6 of Hearts,K of Hearts,7 of Spades,6 of Diamonds,4 of Hearts,K of Clubs,6 of Clubs
991,4 of Spades,10 of Hearts,8 of Clubs,7 of Hearts,10 of Diamonds,9 of Hearts,9 of Diamonds,A of Diamonds,A of Hearts,5 of Clubs,4 of Clubs,2 of Diamonds,7 of Clubs,A of Clubs,5 of Hearts
992,10 of Diamonds,8 of Clubs,5 of Diamonds,2 of Diamonds,4 of Spades,4 of Diamonds,3 of Hearts,4 of Hearts,K of Diamonds,7 of Clubs,8 of Diamonds,2 of Hearts,8 of Hearts,9 of Diamonds,5 of Hearts
993,6 of Spades,2 of Hearts,7 of Diamonds,J of Diamonds,6 of Diamonds,2 of Clubs,A of Hearts,J of Clubs,Q of Hearts,Q of Spades,6 of Clubs,8 of Spades,8 of Hearts,J of Hearts,8 of Clubs
